Date,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,TSLA,META,AVGO,ASML,PEP,COST,ADBE,AZN,CSCO,NFLX,AMD,CMCSA,TMUS,TXN,QCOM,HON,INTU,INTC,AMGN,SBUX,ISRG,AMAT,BKNG,ADI,MDLZ,PDD,GILD,ADP,VRTX,ABNB,LRCX,PYPL,REGN,PANW,MU,CSX,SNPS,CDNS,KLAC,ORLY,FTNT,WDAY,MNST,MAR
2020-12-01,120.59026336669922,210.55532836914062,89.90499877929688,89.76799774169922,161.00399780273438,133.55941772460938,194.9199981689453,286.54998779296875,370.74188232421875,436.7481689453125,133.41746520996094,379.1972961425781,479.1499938964844,49.32309341430664,39.79256820678711,504.5799865722656,92.62999725341797,47.4312629699707,133.1487579345703,150.61392211914062,140.98582458496094,194.33596801757812,350.16632080078125,45.40353775024414,204.5512237548828,93.00492858886719,244.5500030517578,82.14505004882812,2052.669921875,132.7239990234375,54.6474494934082,136.5399932861328,53.85529708862305,163.59396362304688,230.3000030517578,144.7100067138672,451.48712158203125,216.5399932861328,514.0700073242188,98.27666473388672,66.03306579589844,29.087570190429688,230.02000427246094,115.6500015258789,247.45492553710938,453.55999755859375,24.527999877929688,225.6999969482422,43.34000015258789,126.40095520019531
2020-12-02,120.94401550292969,209.73727416992188,91.39749908447266,91.24849700927734,160.17649841308594,135.10052490234375,189.60667419433594,287.5199890136719,369.9721984863281,438.45916748046875,132.09303283691406,375.2248840332031,481.260009765625,49.70479202270508,40.1124382019043,503.3800048828125,93.73999786376953,47.45915985107422,132.5613250732422,149.904541015625,140.39608764648438,196.03236389160156,348.8610534667969,45.71502685546875,205.89622497558594,93.08963775634766,250.42666625976562,83.13934326171875,2078.419921875,132.65797424316406,54.34831619262695,144.05999755859375,53.86410903930664,160.6999053955078,226.6999969482422,144.7100067138672,462.65728759765625,212.55999755859375,505.1300048828125,97.74333190917969,68.0313720703125,29.106828689575195,224.72000122070312,116.43000030517578,247.1271209716797,442.4100036621094,24.576000213623047,225.42999267578125,43.130001068115234,126.59764862060547
2020-12-03,120.80644226074219,208.63685607910156,91.3385009765625,91.09200286865234,159.3365020751953,133.6587371826172,197.7933349609375,281.8500061035156,366.37078857421875,440.3063659667969,132.877685546875,365.97882080078125,484.2799987792969,49.136898040771484,40.313507080078125,497.5199890136719,92.30999755859375,47.9611701965332,130.6197967529297,149.22283935546875,140.33053588867188,196.23971557617188,356.9179992675781,46.71360778808594,206.2143096923828,94.21900939941406,252.9066619873047,83.92890930175781,2096.6298828125,132.3832550048828,54.740928649902344,145.16000366210938,53.62620162963867,161.17752075195312,226.8699951171875,144.7100067138672,467.3396911621094,214.5399932861328,498.8399963378906,98.87666320800781,68.80903625488281,29.026580810546875,234.47000122070312,116.68000030517578,248.1587371826172,446.5,25.218000411987305,224.1699981689453,43.2599983215332,130.13829040527344
2020-12-04,120.12841796875,208.75372314453125,91.39949798583984,91.18800354003906,158.12899780273438,135.27760314941406,199.67999267578125,279.70001220703125,377.25738525390625,451.4768371582031,134.16558837890625,365.3721923828125,486.0,50.030635833740234,40.560272216796875,498.30999755859375,94.04000091552734,48.05413818359375,131.22715759277344,153.40530395507812,147.54783630371094,200.44308471679688,361.7266540527344,47.62974548339844,208.30453491210938,96.2613296508789,260.11334228515625,86.59981536865234,2125.030029296875,136.3808135986328,55.180274963378906,146.36000061035156,54.24300765991211,163.70632934570312,228.32000732421875,144.7100067138672,482.6998291015625,217.77000427246094,492.45001220703125,101.43000030517578,72.19535064697266,29.482379913330078,236.8800048828125,118.33999633789062,254.24249267578125,450.0,25.559999465942383,222.17999267578125,43.720001220703125,133.37405395507812
2020-12-07,121.6023941040039,208.68553161621094,90.9739990234375,90.85150146484375,157.89999389648438,135.7615203857422,213.9199981689453,285.5799865722656,385.6973571777344,456.66839599609375,133.7239990234375,365.27435302734375,492.25,50.514739990234375,40.53285598754883,515.780029296875,94.06999969482422,48.277259826660156,132.38211059570312,153.19338989257812,147.92233276367188,198.95401000976562,365.2496643066406,45.989871978759766,205.79627990722656,95.44251251220703,254.79666137695312,86.89226531982422,2128.780029296875,136.134521484375,54.6007080078125,146.7899932861328,53.59977722167969,163.5002899169922,227.05999755859375,144.7100067138672,491.0990905761719,217.92999267578125,495.4100036621094,100.96333312988281,71.47674560546875,29.543363571166992,239.1699981689453,119.0199966430664,257.1348571777344,448.6199951171875,25.615999221801758,227.27999877929688,43.584999084472656,130.76776123046875
2020-12-08,122.22145080566406,210.3605499267578,90.92749786376953,90.56649780273438,158.864501953125,133.19979858398438,216.6266632080078,283.3999938964844,388.0066833496094,455.5406494140625,133.8620147705078,369.45220947265625,495.2799987792969,50.942996978759766,40.55113220214844,512.6599731445312,92.91999816894531,47.79383087158203,132.57127380371094,153.55267333984375,148.65248107910156,199.8682403564453,365.6422119140625,46.43877410888672,208.05917358398438,95.25428009033203,255.11666870117188,87.48686981201172,2086.64990234375,138.4269256591797,54.48854064941406,157.49000549316406,53.899356842041016,163.46282958984375,229.8300018310547,144.7100067138672,495.24176025390625,216.94000244140625,497.1400146484375,103.40666961669922,72.0477066040039,29.37003517150879,238.75999450683594,118.41000366210938,257.3662109375,440.0,26.332000732421875,228.1699981689453,44.099998474121094,130.36448669433594
2020-12-09,119.66658020019531,206.26068115234375,89.20649719238281,88.89299774169922,155.2100067138672,129.0167236328125,201.4933319091797,277.9200134277344,381.4178161621094,440.296630859375,134.0183563232422,366.2136535644531,483.739990234375,50.3099250793457,40.84358596801758,493.6000061035156,89.83000183105469,47.654380798339844,130.5500946044922,149.94143676757812,146.0501251220703,200.02842712402344,357.3890380859375,45.87076950073242,208.8861846923828,94.49195098876953,251.1699981689453,85.60553741455078,2107.110107421875,134.30624389648438,53.95570755004883,147.57000732421875,53.59095764160156,162.8165740966797,224.3800048828125,144.7100067138672,477.9838562011719,210.8000030517578,488.6400146484375,100.71666717529297,70.29547882080078,29.443864822387695,232.77000427246094,115.48999786376953,247.29103088378906,444.0199890136719,25.06800079345703,219.47999572753906,43.95000076293945,128.3188018798828
2020-12-10,121.10123443603516,205.01414489746094,88.7665023803711,88.38249969482422,155.07449340820312,129.4307861328125,209.02333068847656,277.1199951171875,375.7545471191406,445.07012939453125,133.08009338378906,364.74603271484375,476.8699951171875,50.170284271240234,40.50543212890625,501.0899963378906,91.66000366210938,46.92924880981445,129.99253845214844,149.24127197265625,145.79737854003906,199.77394104003906,355.74029541015625,46.044830322265625,207.35032653808594,99.18832397460938,252.69000244140625,85.67378234863281,2104.8701171875,133.8326416015625,53.450927734375,154.33999633789062,53.26493453979492,161.95968627929688,224.0399932861328,144.7100067138672,474.4219970703125,215.33999633789062,478.9800109863281,102.62333679199219,70.1675033569336,28.88856315612793,234.1699981689453,117.44999694824219,246.79933166503906,446.0,25.511999130249023,218.2899932861328,44.01499938964844,129.5973663330078
2020-12-11,120.28562927246094,207.6824493408203,89.0885009765625,88.73999786376953,155.8209991455078,129.83985900878906,203.3300018310547,273.54998779296875,371.887451171875,440.0438537597656,133.35606384277344,367.0061950683594,475.9100036621094,50.524051666259766,40.50543212890625,503.2200012207031,91.6500015258789,47.34759521484375,130.6596221923828,147.96075439453125,135.06031799316406,202.28091430664062,357.52642822265625,45.55928039550781,206.65963745117188,96.93895721435547,253.3333282470703,86.07344055175781,2089.2099609375,133.70944213867188,53.656578063964844,147.64999389648438,53.53809356689453,163.40037536621094,224.1699981689453,139.25,475.9222717285156,214.05999755859375,479.7699890136719,103.30999755859375,69.42920684814453,29.026580810546875,236.38999938964844,118.5199966430664,248.39013671875,447.94000244140625,25.672000885009766,219.24000549316406,44.0099983215332,126.39109802246094
2020-12-14,119.66658020019531,208.59791564941406,88.00299835205078,87.61299896240234,157.84849548339844,132.78819274902344,213.27667236328125,274.19000244140625,377.367431640625,440.3938293457031,132.67535400390625,366.3017272949219,486.4200134277344,46.57671356201172,40.432315826416016,522.4199829101562,94.77999877929688,47.403377532958984,128.79776000976562,147.50933837890625,136.94186401367188,199.660888671875,358.6942138671875,46.237220764160156,208.53175354003906,97.24012756347656,254.92999267578125,86.26840209960938,2066.010009765625,134.82725524902344,53.55375289916992,142.1199951171875,53.324222564697266,163.04254150390625,228.1300048828125,130.0,476.0867614746094,220.7899932861328,500.3800048828125,104.76000213623047,70.42344665527344,28.54189682006836,238.86000061035156,121.30999755859375,250.8004913330078,447.54998779296875,26.13800048828125,220.3699951171875,44.209999084472656,124.53227233886719
