Date,GFF,AAN,NEOV,TPST,VLYPP,KEN,JNPR,FHN,CIG,ONCY,MAA,PDM,MSC,BRP,HHS,SMFG,INSG,PNR,OPTT,UTMD,SBRA,ACCD,SBLK,CCS,RDVT,DZSI,CII,FRLN,TTEC,FMAO,NOM,PGEN,V,NTRA,ELUT,BCTX,WEA,JMIA,SFST,USA,CVV,ADUS,PUMP,KGC,FGH,ORMP,GNTY,MRK,GGZ,FNKO,KIM,TOI,PRG,SNOW,DRD,NNI,BILI,ITRI,UMBF,JBGS,DEI,JKHY,MMLP,VNRX,TCX,ATRC,BOOT,CAAS,GPRE,HSIC,AMN,URBN,SPOT,III,UK
2020-12-01 00:00:00,17.635499954223633,17.024381637573242,3.4100000858306885,26.100000381469727,23.6114501953125,15.356992721557617,20.087831497192383,11.329099655151367,1.9222217798233032,3.4600000381469727,113.86798095703125,12.920557975769043,15.5,30.84000015258789,2.450000047683716,5.849999904632568,10.119999885559082,49.31150436401367,2.5399999618530273,82.95419311523438,13.182732582092285,54.349998474121094,5.188540458679199,41.709228515625,25.59000015258789,12.930000305175781,13.526700973510742,240.0,61.67329406738281,20.696569442749023,12.765278816223145,8.239999771118164,206.69326782226562,91.19000244140625,14.229999542236328,3.859999895095825,11.386037826538086,27.809999465942383,33.09000015258789,5.012185573577881,4.599999904632568,101.66000366210938,6.210000038146973,6.9360737800598145,1.899999976158142,3.680000066757202,27.178707122802734,70.7232666015625,10.058409690856934,9.069999694824219,12.966739654541016,10.109999656677246,55.599998474121094,305.6400146484375,9.398850440979004,66.9978256225586,60.81999969482422,80.69999694824219,65.0661392211914,27.536876678466797,27.417949676513672,155.6741485595703,1.5466092824935913,3.299999952316284,72.5,43.22999954223633,40.470001220703125,8.680000305175781,14.779999732971191,64.91000366210938,64.70999908447266,27.3700008392334,284.989990234375,2.692880153656006,1687.199951171875
2020-12-02 00:00:00,16.687894821166992,16.876432418823242,3.509999990463257,27.299999237060547,23.487346649169922,14.982047080993652,19.858415603637695,11.526440620422363,1.9297599792480469,3.490000009536743,113.08201599121094,13.001107215881348,15.890000343322754,29.760000228881836,2.440000057220459,5.980000019073486,10.84000015258789,49.158416748046875,2.569999933242798,82.86891174316406,13.314173698425293,49.86000061035156,5.29296350479126,40.647193908691406,25.690000534057617,13.039999961853027,13.534607887268066,243.3000030517578,61.874332427978516,20.07657814025879,12.729244232177734,8.550000190734863,205.6950225830078,90.76000213623047,14.489999771118164,4.099999904632568,11.451424598693848,32.70000076293945,33.52000045776367,5.012185573577881,4.679999828338623,102.01000213623047,6.260000228881836,6.833798885345459,2.0299999713897705,3.9000000953674316,27.71451759338379,70.96609497070312,10.058409690856934,9.5,13.212059020996094,10.15999984741211,59.45000076293945,292.69000244140625,9.28926944732666,66.57281494140625,61.790000915527344,82.55000305175781,65.39665222167969,27.827945709228516,27.278593063354492,154.3618927001953,1.585763931274414,3.319999933242798,72.54000091552734,43.58000183105469,42.150001525878906,8.279999732971191,15.039999961853027,66.48999786376953,65.69999694824219,28.209999084472656,320.8900146484375,2.7207367420196533,1696.800048828125
2020-12-03 00:00:00,16.37761688232422,17.338796615600586,3.5999999046325684,26.399999618530273,23.164701461791992,15.167401313781738,19.8492374420166,11.535409927368164,1.9523738622665405,3.630000114440918,113.00888061523438,13.033330917358398,14.0,30.18000030517578,2.450000047683716,5.929999828338623,10.859999656677246,48.71830749511719,2.490000009536743,83.66481018066406,13.731690406799316,48.25,5.384334087371826,41.87335968017578,25.139999389648438,13.270000457763672,13.518797874450684,251.25,63.63798904418945,20.696569442749023,12.729244232177734,8.479999542236328,203.61050415039062,88.97000122070312,14.819999694824219,3.8299999237060547,11.443249702453613,33.34000015258789,34.279998779296875,5.019688606262207,4.639999866485596,101.05999755859375,6.340000152587891,6.78731107711792,2.140000104904175,4.309999942779541,27.31728172302246,70.63652801513672,10.21780014038086,8.460000038146973,13.308431625366211,10.149999618530273,58.65999984741211,339.8900146484375,8.943659782409668,66.42791748046875,62.33000183105469,82.6500015258789,64.54674530029297,28.154294967651367,27.339563369750977,152.4611053466797,1.6934398412704468,3.4000000953674316,74.44000244140625,44.02000045776367,43.040000915527344,8.510000228881836,14.869999885559082,66.47000122070312,66.5199966430664,28.229999542236328,316.42999267578125,2.7207367420196533,1687.199951171875
2020-12-04 00:00:00,16.746591567993164,17.56998062133789,3.630000114440918,27.299999237060547,23.33843231201172,15.53083610534668,20.170419692993164,11.822450637817383,1.9297599792480469,4.03000020980835,114.36152648925781,13.452202796936035,14.5600004196167,30.68000030517578,2.6500000953674316,5.96999979019165,10.680000305175781,48.967063903808594,2.5199999809265137,85.75881958007812,14.110551834106445,49.349998474121094,5.66497278213501,41.56440353393555,26.290000915527344,14.670000076293945,13.6690034866333,253.5,65.8311538696289,20.669214248657227,12.657175064086914,8.470000267028809,208.1416473388672,87.47000122070312,14.460000038146973,3.7799999713897705,11.410555839538574,31.540000915527344,34.290000915527344,5.072212219238281,4.659999847412109,104.37000274658203,6.829999923706055,6.694333076477051,2.180000066757202,4.170000076293945,28.268810272216797,71.06149291992188,10.427525520324707,10.899999618530273,13.676406860351562,10.380000114440918,57.22999954223633,387.70001220703125,8.808789253234863,66.95918273925781,67.79000091552734,83.5,65.67997741699219,28.798173904418945,28.271493911743164,152.9145965576172,1.9479447603225708,3.4700000286102295,77.91000366210938,46.09000015258789,43.7599983215332,7.820000171661377,15.510000228881836,68.41999816894531,65.66000366210938,28.520000457763672,319.7699890136719,2.8971669673919678,1646.4000244140625
2020-12-07 00:00:00,16.461471557617188,16.64524269104004,3.559999942779541,27.899999618530273,23.76036262512207,15.627752304077148,20.289716720581055,11.786569595336914,2.012679100036621,3.880000114440918,114.53514862060547,13.258875846862793,15.449999809265137,31.18000030517578,2.5899999141693115,5.860000133514404,11.069999694824219,48.65133285522461,2.6600000858306885,86.3841781616211,13.847670555114746,53.08000183105469,5.371281147003174,43.45676803588867,27.360000610351562,14.779999732971191,13.589945793151855,262.20001220703125,65.65752410888672,20.277164459228516,12.639159202575684,8.09000015258789,208.1123504638672,90.36000061035156,13.260000228881836,3.5199999809265137,11.410555839538574,33.25,34.08000183105469,5.049702167510986,4.53000020980835,105.7699966430664,6.610000133514404,7.1871113777160645,1.9800000190734863,4.239999771118164,27.71451759338379,71.5558090209961,10.39396858215332,10.850000381469727,13.22957992553711,10.460000038146973,57.20000076293945,388.9599914550781,9.112251281738281,67.72228240966797,72.55000305175781,83.93000030517578,65.36834716796875,28.189573287963867,27.792461395263672,152.92422485351562,1.938156247138977,3.3499999046325684,78.0,45.349998474121094,43.790000915527344,7.429999828338623,14.789999961853027,68.7300033569336,65.36000061035156,27.600000381469727,342.0,2.915738582611084,1495.199951171875
2020-12-08 00:00:00,16.604036331176758,15.93320083618164,3.615000009536743,29.399999618530273,23.867916107177734,15.494491577148438,19.950180053710938,11.73275089263916,1.9523738622665405,3.8399999141693115,113.2647705078125,13.04944133758545,15.510000228881836,32.0099983215332,2.700000047683716,5.880000114440918,11.65999984741211,48.909664154052734,2.5799999237060547,89.44461059570312,13.894058227539062,57.93000030517578,5.319069862365723,42.9450569152832,28.0,14.800000190734863,13.724342346191406,262.5,66.30633544921875,20.915382385253906,12.73825454711914,8.399999618530273,208.2297821044922,92.62999725341797,12.989999771118164,3.809999942779541,11.402384757995605,35.5,34.84000015258789,5.08721923828125,4.460000038146973,105.37999725341797,6.889999866485596,7.0197529792785645,1.9800000190734863,4.300000190734863,28.13024139404297,72.1368637084961,10.335245132446289,10.710000038146973,13.12331771850586,10.380000114440918,55.43000030517578,390.0,9.331415176391602,67.29727172851562,75.30000305175781,84.5999984741211,65.00004577636719,28.268957138061523,27.304725646972656,154.3812255859375,1.8206921815872192,3.450000047683716,77.94999694824219,47.189998626708984,42.65999984741211,7.309999942779541,14.800000190734863,70.44999694824219,68.48999786376953,27.25,332.8599853515625,2.92502498626709,1375.199951171875
2020-12-09 00:00:00,16.704666137695312,15.988685607910156,3.549999952316284,30.0,24.116104125976562,15.718612670898438,20.097003936767578,11.795539855957031,1.9372975826263428,3.2899999618530273,112.32344055175781,13.218602180480957,15.699999809265137,29.049999237060547,2.700000047683716,5.860000133514404,11.239999771118164,50.32566452026367,2.3499999046325684,87.6538314819336,13.723958969116211,55.83000183105469,5.188540458679199,42.665069580078125,27.399999618530273,14.109999656677246,13.763867378234863,254.39999389648438,66.4159927368164,20.760391235351562,12.639159202575684,8.329999923706055,205.10784912109375,94.48999786376953,12.510000228881836,3.809999942779541,11.394209861755371,33.470001220703125,34.79999923706055,5.072212219238281,4.480000019073486,104.27999877929688,6.869999885559082,6.796608924865723,1.9500000476837158,4.320000171661377,27.760711669921875,72.38835144042969,10.3604154586792,10.550000190734863,13.220726013183594,10.449999809265137,53.97999954223633,371.260009765625,8.825648307800293,67.71261596679688,73.05999755859375,84.69000244140625,65.38902282714844,28.021989822387695,27.7227840423584,151.48655700683594,1.7325940132141113,3.390000104904175,75.7699966430664,47.349998474121094,41.790000915527344,6.900000095367432,14.4399995803833,71.1500015258789,68.19999694824219,27.260000228881836,332.45001220703125,2.92502498626709,1334.4000244140625
2020-12-10 00:00:00,16.30214500427246,16.293848037719727,3.6500000953674316,29.549999237060547,23.64453887939453,15.83975601196289,20.161243438720703,11.759245872497559,2.0352931022644043,2.690000057220459,109.83750915527344,13.0574951171875,15.699999809265137,29.360000610351562,2.5999999046325684,5.860000133514404,12.260000228881836,48.909664154052734,2.309999942779541,87.67276763916016,13.530664443969727,59.720001220703125,5.364755153656006,42.23059844970703,27.459999084472656,14.100000381469727,13.6690034866333,261.0,66.5896224975586,21.608306884765625,12.639159202575684,8.300000190734863,203.1798553466797,98.81999969482422,13.0600004196167,4.340000152587891,11.386037826538086,37.810001373291016,34.4900016784668,5.004681587219238,4.400000095367432,105.05000305175781,7.21999979019165,6.796608924865723,2.0299999713897705,4.639999866485596,28.72148323059082,71.97208404541016,10.445404052734375,10.5600004196167,13.12331771850586,10.368000030517578,52.290000915527344,373.2799987792969,8.724493980407715,66.978515625,75.70999908447266,84.37999725341797,64.88619232177734,27.889684677124023,27.444080352783203,148.43753051757812,1.830480694770813,3.5799999237060547,75.62999725341797,48.0099983215332,41.45000076293945,6.889999866485596,14.529999732971191,71.30999755859375,69.95999908447266,27.190000534057617,343.29998779296875,2.8785958290100098,1425.5999755859375
2020-12-11 00:00:00,16.327301025390625,16.386316299438477,3.680000066757202,30.299999237060547,23.578353881835938,15.83975601196289,20.115360260009766,11.632218360900879,2.072984457015991,2.490000009536743,111.19013214111328,13.033330917358398,14.920000076293945,28.530000686645508,2.5999999046325684,5.920000076293945,13.760000228881836,49.23495864868164,2.2100000381469727,86.45996856689453,13.530664443969727,59.279998779296875,5.175487518310547,41.56440353393555,27.719999313354492,13.550000190734863,13.6690034866333,261.75,66.70841217041016,20.988323211669922,12.693208694458008,8.270000457763672,201.839111328125,96.55999755859375,13.569999694824219,3.7699999809265137,11.435081481933594,38.130001068115234,34.40999984741211,5.02719259262085,4.449999809265137,104.77999877929688,7.460000038146973,6.694333076477051,2.0,4.25,28.68453025817871,71.9460678100586,10.428406715393066,10.225000381469727,13.061332702636719,10.369999885559082,51.97999954223633,353.9599914550781,8.319880485534668,67.10408782958984,75.91000366210938,83.36000061035156,64.27897644042969,27.730924606323242,27.1218204498291,150.3480224609375,1.7423826456069946,3.5399999618530273,75.6500015258789,46.869998931884766,40.02000045776367,6.989999771118164,13.880000114440918,69.94999694824219,67.86000061035156,26.639999389648438,341.2200012207031,2.9343101978302,1598.4000244140625
2020-12-14 00:00:00,16.880765914916992,16.626747131347656,3.5899999141693115,29.25,24.191530227661133,16.221364974975586,20.26218605041504,11.523335456848145,2.0503697395324707,2.5299999713897705,110.98907470703125,13.017220497131348,14.8100004196167,27.510000228881836,2.569999933242798,5.980000019073486,15.15999984741211,49.1392822265625,2.3399999141693115,84.25961303710938,13.484273910522461,55.189998626708984,4.992746829986572,41.0816535949707,27.100000381469727,14.050000190734863,13.667415618896484,270.0,66.08700561523438,20.76950454711914,12.597421646118164,9.229999542236328,202.82752990722656,98.47000122070312,13.9399995803833,3.640000104904175,11.435081481933594,37.029998779296875,34.540000915527344,5.012185573577881,4.349999904632568,103.45999908447266,7.389999866485596,6.415403842926025,1.8799999952316284,4.21999979019165,28.176429748535156,70.20663452148438,10.436904907226562,10.449999809265137,12.777968406677246,10.319999694824219,51.25,329.1499938964844,8.817218780517578,66.24440002441406,78.19999694824219,84.19999694824219,64.23153686523438,27.580976486206055,26.816984176635742,151.8532257080078,1.7619601488113403,3.440000057220459,76.91999816894531,48.130001068115234,39.560001373291016,6.409999847412109,13.65999984741211,68.06999969482422,67.01000213623047,26.079999923706055,320.3399963378906,2.887881278991699,1656.0
